Country,Gender,Wage_hour,Wage_month,Education,Education_years,Experience_years,Partner,Nationality,Numeracy_score
ESP,Male,5.7803468208,1000,Primary,6,26,Yes,National,197.03147
ESP,Female,10.569777044,1600,Tertiary,15,1,No,National,233.45845
ESP,Female,13.786127168,2385,Secondary,12,32,Yes,National,286.23223
ESP,Female,6.7514450867,730,Primary,6,21,Yes,National,257.98386
ESP,Female,7.2667217176,1100,Secondary,12,5,No,National,173.51494
ESP,Male,6.859344894,890,Secondary,12,20,Yes,National,340.63604
ESP,Female,18.063583815,2500,Tertiary,15,32,Yes,National,297.33531
ESP,Female,4.6242774566,800,Secondary,10,0,No,Non_national,204.08047
ESP,Female,5.0057803468,866,Tertiary,15,7,Yes,Non_national,199.69123
ESP,Male,4.6242774566,900,Tertiary,15,2,No,National,255.93877
ESP,Male,11.560693642,1500,Tertiary,15,20,Yes,National,231.29253
ESP,Female,15.211439002,2500,Tertiary,15,15,Yes,National,313.31605
ESP,Male,7.9273327828,1200,Secondary,10,20,Yes,National,257.17049
ESP,Female,17.341040462,3000,Tertiary,17,23,Yes,National,355.58683
ESP,Female,8.7486330261,1400,Secondary,12,37,Yes,National,237.29418
ESP,Male,5.0867052023,880,Secondary,10,8,Yes,National,253.74056
ESP,Male,7.5144508671,1300,Tertiary,17,1,No,Non_national,277.74961
ESP,Female,7.8612716763,850,Tertiary,15,3,Yes,National,287.68197
ESP,Male,13.762730526,2500,Upper_second,14,16,Yes,National,299.97336
ESP,Male,20.231213873,3500,Tertiary,15,30,Yes,National,285.40754
ESP,Male,7.3426027183,1175,Tertiary,15,9,Yes,National,253.80524
ESP,Male,8.0924855491,1400,Upper_second,14,28,Yes,National,307.81891
ESP,Female,6.936416185,900,Secondary,12,12,Yes,Non_national,206.05305
ESP,Female,4.6242774566,800,Secondary,10,20,Yes,National,161.89142
ESP,Female,5.7803468208,900,Secondary,12,20,Yes,National,222.60918
ESP,Female,8.8928412628,1000,Tertiary,17,12,Yes,National,271.14036
ESP,Male,8.2209377007,1600,Tertiary,15,10,Yes,National,314.81801
ESP,Male,8.734746307,1700,Secondary,12,12,Yes,National,292.55192
ESP,Female,4.6242774566,1000,Secondary,12,16,Yes,Non_national,268.12182
ESP,Male,17.036811682,2800,Upper_second,14,31,Yes,National,241.98739
ESP,Male,5.4913294798,950,Secondary,12,14,Yes,Non_national,205.79386
ESP,Male,5.4277456647,939,Primary,6,22,Yes,National,213.6569
ESP,Female,16.872363693,2700,Tertiary,15,12,Yes,National,218.84629
ESP,Male,5.7803468208,1000,Upper_second,14,10,,National,299.18467
ESP,Male,3.8535645472,1000,Secondary,10,6,Yes,Non_national,221.2316
ESP,Male,5.549132948,600,Tertiary,17,1,No,National,312.61005
ESP,Male,6.3583815029,1100,Primary,6,20,Yes,Non_national,189.81926
ESP,Male,8.323699422,1800,Secondary,12,14,Yes,National,293.67644
ESP,Male,7.8612716763,1700,Secondary,10,20,Yes,National,185.45184
ESP,Female,13.87283237,2100,Tertiary,17,15,,National,243.11505
ESP,Female,8.6589595376,1498,Tertiary,15,6,Yes,National,261.93832
ESP,Male,5.0867052023,1100,Primary,6,47,Yes,National,129.43954
ESP,Female,4.8676604807,800,Secondary,12,13,Yes,National,232.1705
ESP,Male,5.7803468208,1000,Secondary,10,17,Yes,National,228.91936
ESP,Female,3.1445086705,340,Primary,6,8,,National,231.42258
ESP,Male,6.936416185,1200,Secondary,12,12,Yes,Non_national,277.07703
ESP,Female,5.9454995871,900,Tertiary,15,36,Yes,National,189.87237
ESP,Female,18.643139641,3064,Tertiary,17,30,Yes,National,338.37713
ESP,Male,9.2485549133,1600,Upper_second,14,26,Yes,Non_national,303.99996
ESP,Male,15.133998949,3600,Tertiary,17,21,Yes,National,347.69256
ESP,Female,5.7803468208,1000,Primary,6,33,No,National,227.85936
ESP,Female,4.1104688504,800,Tertiary,17,16,Yes,Non_national,104.62494
ESP,Male,17.341040462,3000,Tertiary,17,25,Yes,National,365.54538
ESP,Male,5.7803468208,1000,Secondary,12,6,Yes,Non_national,204.10801
ESP,Female,8.6705202312,1500,Secondary,12,33,Yes,National,267.07392
